dataset,kc_id,level,n_full,n_keep,n_drop,feasible,rng_salt
junyi,+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,full,9416,9416,0,True,
junyi,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,full,6343,6343,0,True,
junyi,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,full,4497,4497,0,True,
junyi,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,full,10179,10179,0,True,
junyi,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,full,2457,2457,0,True,
junyi,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,full,7349,7349,0,True,
junyi,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,full,7009,7009,0,True,
junyi,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,full,3485,3485,0,True,
junyi,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,full,13189,13189,0,True,
junyi,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,full,1411,1411,0,True,
junyi,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,full,2899,2899,0,True,
junyi,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,full,1945,1945,0,True,
junyi,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,full,2213,2213,0,True,
junyi,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,full,8344,8344,0,True,
junyi,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,full,1568,1568,0,True,
junyi,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,full,9768,9768,0,True,
junyi,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,full,13225,13225,0,True,
junyi,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,t500,5021,500,4521,True,1083293120.0
junyi,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,t500,874,500,374,True,1401658961.0
junyi,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,t500,947,500,447,True,1857978185.0
junyi,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,t500,9820,500,9320,True,1114420330.0
junyi,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,t500,13846,500,13346,True,1668084044.0
junyi,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,t500,11580,500,11080,True,1948477403.0
junyi,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,t500,11332,500,10832,True,478859053.0
junyi,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,t500,11801,500,11301,True,2142770935.0
junyi,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,t500,3723,500,3223,True,1234411862.0
junyi,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,t500,2019,500,1519,True,856617391.0
junyi,+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,t500,2459,500,1959,True,1345805260.0
junyi,+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,t500,13042,500,12542,True,1333215891.0
junyi,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,t500,2152,500,1652,True,318596336.0
junyi,+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,t500,9416,500,8916,True,908562095.0
junyi,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,t500,6343,500,5843,True,1281666539.0
junyi,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,t500,4497,500,3997,True,1911463365.0
junyi,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,t500,10179,500,9679,True,1211639340.0
junyi,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,t500,2457,500,1957,True,965330269.0
junyi,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,t500,7349,500,6849,True,561004902.0
junyi,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,t500,7009,500,6509,True,1401703845.0
junyi,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,t500,3485,500,2985,True,1243375545.0
junyi,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,t500,13189,500,12689,True,2005276156.0
junyi,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,t500,1411,500,911,True,708965319.0
junyi,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,t500,2899,500,2399,True,2114835555.0
junyi,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,t500,1945,500,1445,True,72082299.0
junyi,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,t500,2213,500,1713,True,1664327797.0
junyi,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,t500,8344,500,7844,True,1701762455.0
junyi,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,t500,1568,500,1068,True,873508407.0
junyi,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,t500,9768,500,9268,True,1608899927.0
junyi,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,t500,13225,500,12725,True,777956679.0
junyi,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,t100,5021,100,4921,True,2127653116.0
junyi,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,t100,874,100,774,True,299073491.0
junyi,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,t100,947,100,847,True,305781853.0
junyi,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,t100,9820,100,9720,True,1845709336.0
junyi,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,t100,13846,100,13746,True,282744159.0
junyi,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,t100,11580,100,11480,True,1971179145.0
junyi,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,t100,11332,100,11232,True,878210556.0
junyi,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,t100,11801,100,11701,True,1601788748.0
junyi,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,t100,3723,100,3623,True,886693241.0
junyi,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,t100,2019,100,1919,True,1154573557.0
junyi,+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,t100,2459,100,2359,True,1485972888.0
junyi,+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,t100,13042,100,12942,True,1638403760.0
junyi,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,t100,2152,100,2052,True,1969696507.0
junyi,+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,t100,9416,100,9316,True,1545991947.0
junyi,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,t100,6343,100,6243,True,71715627.0
junyi,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,t100,4497,100,4397,True,992104779.0
junyi,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,t100,10179,100,10079,True,531639481.0
junyi,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,t100,2457,100,2357,True,411635005.0
junyi,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,t100,7349,100,7249,True,845063753.0
junyi,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,t100,7009,100,6909,True,148275853.0
junyi,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,t100,3485,100,3385,True,1554073641.0
junyi,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,t100,13189,100,13089,True,767224032.0
junyi,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,t100,1411,100,1311,True,1747134822.0
junyi,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,t100,2899,100,2799,True,1713938115.0
junyi,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,t100,1945,100,1845,True,1656438589.0
junyi,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,t100,2213,100,2113,True,1012165868.0
junyi,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,t100,8344,100,8244,True,2143723224.0
junyi,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,t100,1568,100,1468,True,1052220738.0
junyi,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,t100,9768,100,9668,True,449499417.0
junyi,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,t100,13225,100,13125,True,258300293.0
junyi,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,t50,5021,50,4971,True,1161947790.0
junyi,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,t50,874,50,824,True,895355164.0
junyi,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,t50,947,50,897,True,1507552308.0
junyi,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,t50,9820,50,9770,True,951828822.0
junyi,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,t50,13846,50,13796,True,2123903325.0
junyi,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,t50,11580,50,11530,True,480043041.0
junyi,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,t50,11332,50,11282,True,1424074696.0
junyi,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,t50,11801,50,11751,True,1560496417.0
junyi,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,t50,3723,50,3673,True,213877555.0
junyi,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,t50,2019,50,1969,True,6864983.0
junyi,+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,t50,2459,50,2409,True,1141126934.0
junyi,+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,t50,13042,50,12992,True,631450002.0
junyi,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,t50,2152,50,2102,True,863052556.0
junyi,+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,t50,9416,50,9366,True,1936978482.0
junyi,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,t50,6343,50,6293,True,1615580804.0
junyi,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,t50,4497,50,4447,True,179266390.0
junyi,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,t50,10179,50,10129,True,1111331684.0
junyi,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,t50,2457,50,2407,True,1364704667.0
junyi,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,t50,7349,50,7299,True,2034431029.0
junyi,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,t50,7009,50,6959,True,98477988.0
junyi,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,t50,3485,50,3435,True,798456799.0
junyi,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,t50,13189,50,13139,True,340154989.0
junyi,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,t50,1411,50,1361,True,1773296534.0
junyi,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,t50,2899,50,2849,True,2703970.0
junyi,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,t50,1945,50,1895,True,869847435.0
junyi,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,t50,2213,50,2163,True,226392089.0
junyi,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,t50,8344,50,8294,True,1260059072.0
junyi,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,t50,1568,50,1518,True,1475063492.0
junyi,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,t50,9768,50,9718,True,366080426.0
junyi,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,t50,13225,50,13175,True,1683862767.0
xes3g5m,0,full,5381,5381,0,True,
xes3g5m,1,full,5941,5941,0,True,
xes3g5m,10,full,27284,27284,0,True,
xes3g5m,100,full,2031,2031,0,True,
xes3g5m,101,full,7186,7186,0,True,
xes3g5m,102,full,24291,24291,0,True,
xes3g5m,103,full,1778,1778,0,True,
xes3g5m,104,full,32065,32065,0,True,
xes3g5m,105,full,2405,2405,0,True,
xes3g5m,106,full,27954,27954,0,True,
xes3g5m,107,full,3527,3527,0,True,
xes3g5m,108,full,34327,34327,0,True,
xes3g5m,109,full,31486,31486,0,True,
xes3g5m,11,full,13197,13197,0,True,
xes3g5m,110,full,755,755,0,True,
xes3g5m,111,full,1026,1026,0,True,
xes3g5m,112,full,14011,14011,0,True,
xes3g5m,114,full,11081,11081,0,True,
xes3g5m,115,full,3997,3997,0,True,
xes3g5m,116,full,3065,3065,0,True,
xes3g5m,117,full,6937,6937,0,True,
xes3g5m,118,full,5697,5697,0,True,
xes3g5m,121,full,13254,13254,0,True,
xes3g5m,129,full,1256,1256,0,True,
xes3g5m,131,full,10297,10297,0,True,
xes3g5m,137,full,2127,2127,0,True,
xes3g5m,139,full,21267,21267,0,True,
xes3g5m,14,full,27046,27046,0,True,
xes3g5m,143,full,4137,4137,0,True,
xes3g5m,159,full,2038,2038,0,True,
xes3g5m,0,t500,5381,500,4881,True,2052505012.0
xes3g5m,1,t500,5941,500,5441,True,340777451.0
xes3g5m,10,t500,27284,500,26784,True,1678543205.0
xes3g5m,100,t500,2031,500,1531,True,1950663019.0
xes3g5m,101,t500,7186,500,6686,True,1113705507.0
xes3g5m,102,t500,24291,500,23791,True,2098118561.0
xes3g5m,103,t500,1778,500,1278,True,324677613.0
xes3g5m,104,t500,32065,500,31565,True,1727387177.0
xes3g5m,105,t500,2405,500,1905,True,12086543.0
xes3g5m,106,t500,27954,500,27454,True,1657828273.0
xes3g5m,107,t500,3527,500,3027,True,1703407378.0
xes3g5m,108,t500,34327,500,33827,True,1669907086.0
xes3g5m,109,t500,31486,500,30986,True,494533199.0
xes3g5m,11,t500,13197,500,12697,True,62614654.0
xes3g5m,110,t500,755,500,255,True,1313151441.0
xes3g5m,111,t500,1026,500,526,True,1524871216.0
xes3g5m,112,t500,14011,500,13511,True,2078083617.0
xes3g5m,114,t500,11081,500,10581,True,1227482338.0
xes3g5m,115,t500,3997,500,3497,True,944793757.0
xes3g5m,116,t500,3065,500,2565,True,1794652254.0
xes3g5m,117,t500,6937,500,6437,True,1896177560.0
xes3g5m,118,t500,5697,500,5197,True,809472352.0
xes3g5m,121,t500,13254,500,12754,True,1143930194.0
xes3g5m,129,t500,1256,500,756,True,1482700484.0
xes3g5m,131,t500,10297,500,9797,True,998157993.0
xes3g5m,137,t500,2127,500,1627,True,670138769.0
xes3g5m,139,t500,21267,500,20767,True,1215087783.0
xes3g5m,14,t500,27046,500,26546,True,1783711065.0
xes3g5m,143,t500,4137,500,3637,True,897581743.0
xes3g5m,159,t500,2038,500,1538,True,1614363978.0
xes3g5m,0,t100,5381,100,5281,True,177473126.0
xes3g5m,1,t100,5941,100,5841,True,2027026609.0
xes3g5m,10,t100,27284,100,27184,True,1171592822.0
xes3g5m,100,t100,2031,100,1931,True,1815776577.0
xes3g5m,101,t100,7186,100,7086,True,1620794365.0
xes3g5m,102,t100,24291,100,24191,True,1208552965.0
xes3g5m,103,t100,1778,100,1678,True,35566335.0
xes3g5m,104,t100,32065,100,31965,True,167716145.0
xes3g5m,105,t100,2405,100,2305,True,1504062002.0
xes3g5m,106,t100,27954,100,27854,True,1029337955.0
xes3g5m,107,t100,3527,100,3427,True,561839537.0
xes3g5m,108,t100,34327,100,34227,True,886977659.0
xes3g5m,109,t100,31486,100,31386,True,2050930949.0
xes3g5m,11,t100,13197,100,13097,True,1745717053.0
xes3g5m,110,t100,755,100,655,True,1303063350.0
xes3g5m,111,t100,1026,100,926,True,1319597542.0
xes3g5m,112,t100,14011,100,13911,True,242900113.0
xes3g5m,114,t100,11081,100,10981,True,141977839.0
xes3g5m,115,t100,3997,100,3897,True,804271853.0
xes3g5m,116,t100,3065,100,2965,True,1308776068.0
xes3g5m,117,t100,6937,100,6837,True,1519731080.0
xes3g5m,118,t100,5697,100,5597,True,2021905568.0
xes3g5m,121,t100,13254,100,13154,True,220210411.0
xes3g5m,129,t100,1256,100,1156,True,1710496709.0
xes3g5m,131,t100,10297,100,10197,True,412545610.0
xes3g5m,137,t100,2127,100,2027,True,1268128257.0
xes3g5m,139,t100,21267,100,21167,True,1877420082.0
xes3g5m,14,t100,27046,100,26946,True,789797048.0
xes3g5m,143,t100,4137,100,4037,True,1134808394.0
xes3g5m,159,t100,2038,100,1938,True,363559315.0
xes3g5m,0,t50,5381,50,5331,True,1056493529.0
xes3g5m,1,t50,5941,50,5891,True,1245729811.0
xes3g5m,10,t50,27284,50,27234,True,1121688818.0
xes3g5m,100,t50,2031,50,1981,True,1209002654.0
xes3g5m,101,t50,7186,50,7136,True,1340632229.0
xes3g5m,102,t50,24291,50,24241,True,115577834.0
xes3g5m,103,t50,1778,50,1728,True,379144517.0
xes3g5m,104,t50,32065,50,32015,True,885975527.0
xes3g5m,105,t50,2405,50,2355,True,1973716533.0
xes3g5m,106,t50,27954,50,27904,True,1477211075.0
xes3g5m,107,t50,3527,50,3477,True,1550469931.0
xes3g5m,108,t50,34327,50,34277,True,22266731.0
xes3g5m,109,t50,31486,50,31436,True,724050249.0
xes3g5m,11,t50,13197,50,13147,True,381033515.0
xes3g5m,110,t50,755,50,705,True,1777604236.0
xes3g5m,111,t50,1026,50,976,True,672399259.0
xes3g5m,112,t50,14011,50,13961,True,2082325724.0
xes3g5m,114,t50,11081,50,11031,True,1086860557.0
xes3g5m,115,t50,3997,50,3947,True,835467917.0
xes3g5m,116,t50,3065,50,3015,True,504239483.0
xes3g5m,117,t50,6937,50,6887,True,2025109862.0
xes3g5m,118,t50,5697,50,5647,True,217336710.0
xes3g5m,121,t50,13254,50,13204,True,183037590.0
xes3g5m,129,t50,1256,50,1206,True,1213651541.0
xes3g5m,131,t50,10297,50,10247,True,2119164808.0
xes3g5m,137,t50,2127,50,2077,True,437431232.0
xes3g5m,139,t50,21267,50,21217,True,638097178.0
