kc_id,train_freq,train_correct_rate,test_n,test_pos,test_neg,difficulty_proxy,in_official_preds,eligible,tert,selection_rule,dataset
+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,13042,0.6392424474773808,3504,2302,1202,0.3607575525226192,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,2152,0.6854089219330854,712,510,202,0.31459107806691455,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,9416,0.9605989804587935,2839,2724,115,0.03940101954120645,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,6343,0.6873719060381523,1913,1338,575,0.31262809396184765,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,4497,0.8832555036691128,1116,992,124,0.11674449633088724,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,10179,0.8681599371254544,2890,2567,323,0.13184006287454564,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,2457,0.5588115588115589,604,347,257,0.44118844118844114,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,7349,0.546332834399238,2064,1130,934,0.45366716560076203,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,7009,0.8045370238265088,2064,1662,402,0.19546297617349118,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,3485,0.5317073170731708,926,497,429,0.46829268292682924,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,13189,0.8824778224277807,4025,3566,459,0.11752217757221928,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,1411,0.703756201275691,505,374,131,0.29624379872430895,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,2899,0.38599517074853396,993,395,598,0.614004829251466,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,1945,0.45604113110539846,489,217,272,0.5439588688946015,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,2213,0.5765928603705377,691,383,308,0.4234071396294623,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,8344,0.835810162991371,2482,2091,391,0.164189837008629,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,1568,0.47066326530612246,532,272,260,0.5293367346938775,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,9768,0.9148239148239148,2617,2409,208,0.08517608517608521,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,13225,0.7726275992438564,3962,3111,851,0.22737240075614362,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
0,5381,0.7219847611968035,1624,1158,466,0.27801523880319645,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
1,5941,0.7761319643157718,1660,1269,391,0.2238680356842282,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
10,27284,0.7381249083712066,8033,5956,2077,0.2618750916287934,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
100,2031,0.7552929591334318,608,472,136,0.24470704086656825,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
101,7186,0.7115224046757584,2022,1455,567,0.28847759532424155,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
102,24291,0.8146226997653452,6854,5623,1231,0.18537730023465482,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
103,1778,0.7671541057367829,489,369,120,0.2328458942632171,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
104,32065,0.8196475908311243,8837,7302,1535,0.18035240916887574,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
105,2405,0.7226611226611227,677,513,164,0.2773388773388773,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
106,27954,0.9090291192673678,8156,7402,754,0.09097088073263215,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
107,3527,0.7280975333144315,952,701,251,0.2719024666855685,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
108,34327,0.8173158155387887,9869,8134,1735,0.18268418446121126,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
109,31486,0.796068093755955,8862,7094,1768,0.203931906244045,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
11,13197,0.811472304311586,3890,3224,666,0.188527695688414,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
110,755,0.8516556291390729,212,185,27,0.1483443708609271,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
111,1026,0.8235867446393762,288,245,43,0.1764132553606238,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
112,14011,0.7660409678110056,3943,3051,892,0.2339590321889944,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
114,11081,0.7480371807598593,3153,2416,737,0.25196281924014075,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
115,3997,0.7348011008256192,1122,857,265,0.2651988991743808,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
116,3065,0.6740619902120718,895,589,306,0.3259380097879282,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
117,6937,0.7955888712700014,2021,1646,375,0.20441112872999856,True,True,T2,difficulty_tertiles_top10_by_kc_id,xes3g5m
118,5697,0.6987888362295945,1653,1188,465,0.30121116377040547,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,xes3g5m
121,13254,0.828881846989588,3722,3103,619,0.171118153010412,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
129,1256,0.839968152866242,353,300,53,0.16003184713375795,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
131,10297,0.8365543362144314,3035,2571,464,0.16344566378556857,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
137,2127,0.8707099200752233,644,571,73,0.1292900799247767,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
139,21267,0.8377298161470823,6201,5256,945,0.1622701838529177,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
14,27046,0.8545810840789766,7642,6588,1054,0.1454189159210234,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
143,4137,0.9668842156151801,1169,1138,31,0.03311578438481988,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
159,2038,0.9018645731108931,557,508,49,0.09813542688910692,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,xes3g5m
